k-nn,mxm subregion,normalize,feature vector name,k-nn distance metric,train accuracy,test accuracy,f1-score beaches,f1-score cities,f1-score mountains
5,4,l1,hsv+edh,euclidean,0.7777777777777778,0.4,0.29,0.57,0.22
5,4,l1,hsv+edh,minkowski,0.8444444444444444,0.5333333333333333,0.6,0.55,0.44
7,4,l1,hsv+edh,manhattan,0.8666666666666667,0.4,0.46,0.5,0.22
7,4,l1,hsv+edh,euclidean,0.7555555555555555,0.4,0.29,0.57,0.22
7,4,l1,hsv+edh,minkowski,0.8222222222222222,0.4666666666666667,0.44,0.55,0.4
3,4,l1,hsv+sobel,manhattan,0.8444444444444444,0.5333333333333333,0.62,0.5,0.44
3,4,l1,hsv+sobel,euclidean,0.7777777777777778,0.4666666666666667,0.29,0.62,0.4
3,4,l1,hsv+sobel,minkowski,0.8,0.4,0.2,0.55,0.44
5,4,l1,hsv+sobel,manhattan,0.8888888888888888,0.4666666666666667,0.5,0.5,0.4
5,4,l1,hsv+sobel,euclidean,0.8,0.4,0.25,0.57,0.25
5,4,l1,hsv+sobel,minkowski,0.8666666666666667,0.5333333333333333,0.5,0.67,0.4
7,4,l1,hsv+sobel,manhattan,0.8888888888888888,0.4,0.46,0.5,0.22
7,4,l1,hsv+sobel,euclidean,0.7555555555555555,0.4,0.29,0.57,0.22
7,4,l1,hsv+sobel,minkowski,0.8444444444444444,0.4666666666666667,0.44,0.55,0.4
3,4,l1,raw+hsv+edh+sobel,manhattan,0.8444444444444444,0.5333333333333333,0.67,0.5,0.4
3,4,l1,raw+hsv+edh+sobel,euclidean,0.7555555555555555,0.4666666666666667,0.55,0.5,0.36
3,4,l1,raw+hsv+edh+sobel,minkowski,0.7777777777777778,0.5333333333333333,0.67,0.5,0.4
5,4,l1,raw+hsv+edh+sobel,manhattan,0.7555555555555555,0.6,0.67,0.67,0.44
5,4,l1,raw+hsv+edh+sobel,euclidean,0.6888888888888889,0.4666666666666667,0.6,0.4,0.4
5,4,l1,raw+hsv+edh+sobel,minkowski,0.6888888888888889,0.6,0.67,0.6,0.5
7,4,l1,raw+hsv+edh+sobel,manhattan,0.7333333333333333,0.4,0.4,0.44,0.36
7,4,l1,raw+hsv+edh+sobel,euclidean,0.7333333333333333,0.4666666666666667,0.6,0.44,0.36
7,4,l1,raw+hsv+edh+sobel,minkowski,0.6666666666666666,0.4,0.4,0.44,0.36
3,8,l1,raw,manhattan,0.8222222222222222,0.5333333333333333,0.62,0.44,0.5
3,8,l1,raw,euclidean,0.7555555555555555,0.4666666666666667,0.55,0.5,0.36
3,8,l1,raw,minkowski,0.7777777777777778,0.5333333333333333,0.67,0.5,0.4
5,8,l1,raw,manhattan,0.7111111111111111,0.6,0.67,0.67,0.44
5,8,l1,raw,euclidean,0.6888888888888889,0.4666666666666667,0.6,0.4,0.4
5,8,l1,raw,minkowski,0.6888888888888889,0.6,0.67,0.6,0.5
7,8,l1,raw,manhattan,0.7333333333333333,0.4,0.4,0.44,0.36
7,8,l1,raw,euclidean,0.7333333333333333,0.4666666666666667,0.6,0.44,0.36
7,8,l1,raw,minkowski,0.6666666666666666,0.4,0.4,0.44,0.36
3,8,l1,hsv,manhattan,0.8444444444444444,0.5333333333333333,0.55,0.67,0.4
3,8,l1,hsv,euclidean,0.8,0.4666666666666667,0.29,0.62,0.4
3,8,l1,hsv,minkowski,0.7777777777777778,0.4666666666666667,0.44,0.62,0.25
5,8,l1,hsv,manhattan,0.8444444444444444,0.6,0.67,0.67,0.44
5,8,l1,hsv,euclidean,0.8,0.3333333333333333,0.22,0.5,0.22
5,8,l1,hsv,minkowski,0.8444444444444444,0.4666666666666667,0.44,0.67,0.22
7,8,l1,hsv,manhattan,0.9111111111111111,0.4666666666666667,0.5,0.6,0.25
7,8,l1,hsv,euclidean,0.7777777777777778,0.4666666666666667,0.33,0.57,0.4
7,8,l1,hsv,minkowski,0.8222222222222222,0.4666666666666667,0.29,0.62,0.4
3,8,l1,ehd,manhattan,0.8,0.6,0.55,0.5,0.73
3,8,l1,ehd,euclidean,0.6888888888888889,0.6,0.67,0.57,0.57
3,8,l1,ehd,minkowski,0.7111111111111111,0.6666666666666666,0.8,0.57,0.62
5,8,l1,ehd,manhattan,0.7777777777777778,0.5333333333333333,0.55,0.67,0.4
5,8,l1,ehd,euclidean,0.6222222222222222,0.8,0.91,0.75,0.73
5,8,l1,ehd,minkowski,0.6666666666666666,0.6,0.55,0.67,0.6
7,8,l1,ehd,manhattan,0.6666666666666666,0.5333333333333333,0.67,0.67,0.22
7,8,l1,ehd,euclidean,0.6222222222222222,0.6,0.8,0.5,0.5
7,8,l1,ehd,minkowski,0.6222222222222222,0.4666666666666667,0.73,0.44,0.2
3,8,l1,sobel,manhattan,0.6444444444444445,0.4666666666666667,0.62,0.57,0.2
3,8,l1,sobel,euclidean,0.6888888888888889,0.4666666666666667,0.44,0.44,0.5
